!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543045&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Conley,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,168,30,15,2,0,5,0,0,0,.167,.167,.000,.333
,,,Sinker,77,16,7,1,0,1,0,0,0,.063,.063,.000,.111
,,,Change,12,5,2,0,0,1,0,0,0,.200,.200,.000,.333
,,,Slider,23,5,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,44,14,10,0,0,1,0,0,0,.071,.071,.000,.250
,,,Cutter,9,3,1,0,0,2,0,0,0,.667,.667,.000,1.000
,,,Split,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,7,2,1,0,0,1,0,0,0,.500,.500,.000,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594807&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Adam Duvall,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2157,473,168,50,3,33,24,4,33,.199,.476,.277,.224
,,,Sinker,1337,327,50,23,5,72,18,3,13,.324,.517,.193,.352
,,,Change,552,144,44,10,3,15,8,0,7,.208,.410,.201,.247
,,,Slider,1193,311,119,9,4,29,16,0,16,.196,.402,.206,.256
,,,Curve,626,140,44,6,4,11,11,1,8,.221,.486,.264,.261
,,,Cutter,409,99,17,11,0,16,5,0,5,.263,.465,.202,.273
